,id,prices,market_caps,total_volumes
4,harmony,"[1616976000000, 0.2029758446699219]","[1616976000000, 1894999154.0586755]","[1616976000000, 432391809.0897718]"
5,harmony,"[1617062400000, 0.20122436388301362]","[1617062400000, 1881593698.607604]","[1617062400000, 440033069.7278895]"
6,harmony,"[1617148800000, 0.19032443453743828]","[1617148800000, 1770231911.5064223]","[1617148800000, 239902693.90986404]"
7,harmony,"[1617235200000, 0.17647927481949924]","[1617235200000, 1657848227.1932971]","[1617235200000, 188231140.58655837]"
8,harmony,"[1617321600000, 0.17613809398929733]","[1617321600000, 1652537192.1248]","[1617321600000, 221851257.93258798]"
9,harmony,"[1617408000000, 0.16927177297233573]","[1617408000000, 1594107702.4839199]","[1617408000000, 145980386.6901559]"
10,harmony,"[1617494400000, 0.15248597727900462]","[1617494400000, 1432103590.3745563]","[1617494400000, 236280219.1148923]"
11,harmony,"[1617580800000, 0.15892183156623296]","[1617580800000, 1492454203.6431487]","[1617580800000, 187840697.8057332]"
12,harmony,"[1617667200000, 0.1543075437512453]","[1617667200000, 1448141110.4068794]","[1617667200000, 195930815.10138792]"
13,harmony,"[1617753600000, 0.14720864739602973]","[1617753600000, 1390774233.9486535]","[1617753600000, 189475188.39576367]"
14,harmony,"[1617840000000, 0.15553346106361168]","[1617840000000, 1486153152.1865294]","[1617840000000, 449186354.51181597]"
15,harmony,"[1617926400000, 0.16012231776203936]","[1617926400000, 1502635070.0376387]","[1617926400000, 276328543.501724]"
16,harmony,"[1618012800000, 0.15854529513637372]","[1618012800000, 1493489256.376931]","[1618012800000, 143019862.047421]"
17,harmony,"[1618099200000, 0.15056164674037636]","[1618099200000, 1411703765.4849203]","[1618099200000, 125441720.29415505]"
18,harmony,"[1618185600000, 0.14362210309435988]","[1618185600000, 1357852329.8273544]","[1618185600000, 106144124.57005925]"
19,harmony,"[1618272000000, 0.148723624822578]","[1618272000000, 1398033032.0677044]","[1618272000000, 147048092.8362768]"
20,harmony,"[1618358400000, 0.1475622286686281]","[1618358400000, 1386191365.1975007]","[1618358400000, 251228709.6274744]"
21,harmony,"[1618444800000, 0.1490151506246693]","[1618444800000, 1407526784.614676]","[1618444800000, 159427124.12455207]"
22,harmony,"[1618531200000, 0.15373466154443413]","[1618531200000, 1442581376.6412332]","[1618531200000, 192199062.62005943]"
23,harmony,"[1618617600000, 0.14162928924387638]","[1618617600000, 1334129793.011135]","[1618617600000, 207520012.28214136]"
24,harmony,"[1618704000000, 0.14426489913157728]","[1618704000000, 1357032843.0583732]","[1618704000000, 190299309.43887553]"
25,harmony,"[1618790400000, 0.12980114096174905]","[1618790400000, 1224086550.3490698]","[1618790400000, 220037649.23341203]"
26,harmony,"[1618876800000, 0.11647383567774147]","[1618876800000, 1104893516.0814726]","[1618876800000, 182239392.45338047]"
27,harmony,"[1618963200000, 0.11908183059436325]","[1618963200000, 1123697342.3414204]","[1618963200000, 185584026.76412615]"
28,harmony,"[1619049600000, 0.11583876730446736]","[1619049600000, 1090273105.804337]","[1619049600000, 106837907.97838514]"
29,harmony,"[1619136000000, 0.10570377799623862]","[1619136000000, 999059384.5437478]","[1619136000000, 113359151.42678681]"
30,harmony,"[1619222400000, 0.1061298955012019]","[1619222400000, 979094179.2716751]","[1619222400000, 209272029.63782832]"
31,harmony,"[1619308800000, 0.0987769681684113]","[1619308800000, 941550089.8498954]","[1619308800000, 94396466.39011239]"
32,harmony,"[1619395200000, 0.0950637037171893]","[1619395200000, 894870134.0088078]","[1619395200000, 59351764.65741615]"
